ano,mes,tributo,decendio,arrecadacao_bruta,retificacao,compensacao,restituicao,outros,arrecadacao_liquida
2022,6,IR,2º decêndio,15167106985.64,1390484.4,-263110523.02,-13616261.02,534816110.16,15426586796.16
2022,1,IR,2º decêndio,20498197565.28,-10520793.66,-248408192.1,-18342935.29,613371073.65,20834296717.88
2022,7,IR,2º decêndio,15893029071.0,-4300656.78,-245706780.57,-37208212.59,551319034.84,16157132455.9
2022,9,IR,2º decêndio,15687318109.2,2088091.78,-1151621569.73,-66580761.75,591683873.19,15062887742.69
2022,11,IR,2º decêndio,15161764412.68,4036179.16,-315857056.56,-183538228.07,466328193.82,15132733501.03
2022,12,IR,2º decêndio,17217128447.23,-6906456.18,-247513809.64,-67639708.13,625481548.21,17520550021.49
2022,10,IR,2º decêndio,18848750961.5,35427972.22,-694848694.16,-38049287.84,534291255.98,18685572207.7
2022,2,IR,2º decêndio,13818792741.62,3462332.53,-88437975.67,-23563225.29,451141234.37,14161395107.56
2022,11,IR,3º decêndio,31201401222.61,-7607873.43,-2250020247.72,-1612151313.09,877614506.95,28209236295.32
2022,1,IR,3º decêndio,57733002102.03,1990771.59,197058418.06,-611093138.1,125155503.26,57446113656.84
2022,8,IR,3º decêndio,32725188049.12,-38377449.84,-659162031.95,-7020745444.62,233688788.44,25240591911.15
2022,3,IR,3º decêndio,29880669065.39,310067.86,-447683725.27,-445992625.07,222220509.48,29209523292.39
2022,2,IR,3º decêndio,22788941760.84,647445.61,-48847005.99,-220207474.14,169742905.05,22690277631.37
2022,4,IR,3º decêndio,38612588328.92,3420044.22,318810511.54,-429549818.84,542937271.27,39048206337.11
2022,9,IR,3º decêndio,27131565302.31,-94653720.95,-1531952120.13,-2675410565.9,151967424.62,22981516319.95
2022,7,IR,3º decêndio,42944039547.04,-5528108.15,240431675.37,-6450943104.65,137200180.67,36865200190.28
2022,10,IR,3º decêndio,42782414394.58,28739039.05,-4113430596.04,-1190424902.87,118690086.25,37625988020.97
2022,6,IR,3º decêndio,33785925748.13,2740605.11,62999878.63,-6560912607.77,151291348.95,27442044973.05
2022,12,IR,3º decêndio,30118612970.53,11260903.71,-1291478915.89,-3036278429.23,231685027.33,26033801556.45
2022,5,IR,3º decêndio,32178278118.08,-26295816.05,-357948868.09,-6440674463.12,139026589.02,25492385559.84
2022,5,IPI,1º decêndio,1146737211.11,-64409.77,-358909947.76,-6999409.16,249241.69,781012686.11
2022,10,IPI,1º decêndio,1312453766.26,1232661.85,35897911.93,-4402069.85,-22970210.82,1322212059.37
