ano,mes,natureza_juridica_codigo,imposto_importacao,imposto_exportacao,ipi,irpf,irpj,irrf,iof,itr,cofins,pis_pasep,csll,cide_combustiveis,contribuicao_previdenciaria,cpsss,pagamento_unificado,outras_receitas_rfb,demais_receitas
2022,5,1139,,,,,14671.77,163770165.56,,,26630.46,10125388.4,12084.07,,57651.79,250850728.34,34346963.3,459142.16,63447.27
2022,6,1139,,,,,10354.76,166042556.43,,,24933.26,7683337.29,16251.99,505014.11,58221.4,250308963.55,30978423.14,638508.68,16169.05
2022,3,1139,,,,,8278.26,164396381.05,,,21153.65,6845798.4,12196.39,,56678.49,251939855.77,27364444.9,25352.74,11335.68
2022,4,1139,,,,,2181.8,164461642.55,,,19990.71,9386186.36,7770.31,,57192.79,252359629.33,31496945.7,14592.59,28572.84
2022,12,1139,,,,,7796.37,186733589.44,,,162395.27,17463590.03,55595.42,,107227650.48,270151535.41,49668895.34,160370.71,9394.82
2022,7,1139,,,,,9770.35,170708869.45,,,28897.02,7742670.0,17756.16,3862091.72,58807.71,249636206.84,31223550.95,270529.85,11757.08
2022,10,1139,,,,,2740.43,174397843.1,,,31777.0,8817951.43,10646.47,,,255699087.18,32280414.88,151301.48,
2022,9,1139,,,,,15399.89,172552078.84,,,34291.51,7517887.35,23422.67,,60002.1,262536562.92,28949313.82,16988.66,12000.41
2022,8,1139,,,,,10079.99,164092814.7,,10.0,30125.15,7654778.38,17177.38,,59355.08,249342688.23,28890495.84,278067.31,47537.74
2022,1,1139,,,,,2021.16,162616335.68,,,19808.42,5112260.54,7570.43,,,244892162.82,23129951.2,438551.15,
2022,2,1139,,,,,13134.91,162027175.77,,12.35,29860.07,7743173.98,18506.99,,112516.38,251401295.94,26553356.84,515611.56,22503.26
2022,11,1139,,,,,3230.81,353720210.09,,,25290.18,11428913.97,9480.75,5963817.9,74207206.41,523259565.28,32486090.27,15514.43,1656.01
2022,8,1155,,,,,,272842.28,,,12354.17,2982922.56,1475.05,,578693.76,,101945.09,17892.61,140773.22
2022,5,1155,,,,,,255361.77,,,6966.12,2438215.43,14.14,,329848.68,,105819.53,17447.51,43558.04
2022,7,1155,,,,,,244577.58,,,9974.26,2836488.51,1459.74,,419747.33,,93331.94,23856.43,54000.38
2022,11,1155,,,,,,171892.44,,,10045.28,2853347.92,1502.23,,25717558.63,,98575.36,25613.03,112911.54
2022,2,1155,,,,,,226845.58,,,7657.3,2407355.57,13.91,,299356.74,,91171.46,14815.34,45633.68
2022,6,1155,,,,,,227985.57,,,10868.75,2880133.48,1518.86,,314067.61,,102736.63,18515.42,66199.16
2022,1,1155,,,,,,148881.37,,,11875.51,3010650.56,1468.69,,358534.62,,34919.44,9122.79,43418.36
2022,4,1155,,,,,,240322.83,,,10586.86,2436983.1,1515.33,,1348476.61,,105713.94,10924.91,83941.17
2022,12,1155,,,,,,271745.22,,,15860.92,3377706.72,1515.62,,62100533.6,,97558.29,13722.29,90929.9
2022,3,1155,,,,,,233195.23,,,16370.63,2343366.25,2844.23,,278241.03,,104362.67,31428.48,39452.79
2022,9,1155,,,,,,229930.27,,,16602.94,3015548.72,1488.63,,680385.62,,105363.62,17228.72,264900.2
2022,10,1155,,,,,79.83,177817.72,,,10919.61,2621075.52,1488.82,,708273.61,,110787.2,12277.79,99907.64
2022,8,1163,,,,,59231.07,76239402.59,,,46809.67,10216.3,17026.44,,1098.92,100291805.87,5277168.41,,209251.08
2022,1,1163,,,,,7693.24,69008929.18,,,16248.96,3520.53,5440.91,,,95049953.91,1023145.78,,5712491.46
2022,7,1163,,,,,9553.0,71864551.22,,,18264.65,3957.24,6827.94,,401.51,94898809.48,5432508.21,,125673.54
2022,5,1163,,,,,9249.41,72005697.96,,,20513.12,4455.09,7134.43,,523.99,95184460.02,5834221.3,,2722.13
