codigo_nj,imposto_importacao,imposto_exportacao,ipi,irpf,irpj,irrf,iof,itr,cofins,pis_pasep,csll,cide_combustiveis,contribuicao_previdenciaria,cpsss,pagamento_unificado,outras_receitas_rfb,demais_receitas,data
1074,0.0,0.0,534.4,0.0,57246.41,470262907.65,0.0,0.0,137440.6,29825.43,33874.31,0.0,0.0,655013462.62,42546226.02,11229.11,15989701.35,2022-04-01
1074,0.0,0.0,0.0,0.0,57650.81,472479171.56,0.0,0.0,119597.57,25934.62,24984.91,0.0,0.0,650625355.48,30211169.32,298098.5,173991.95,2022-02-01
1104,0.0,0.0,554.81,0.0,248145.78,763668356.72,0.0,161.66,118165.84,11752384.85,56773.1,291666.56,448546.92,1030278059.33,129259606.55,1945033.53,729318.2,2022-09-01
1104,0.0,0.0,97.92,0.0,124297.91,729896843.08,0.0,57.0,187864.84,14116888.77,61362.29,177786.79,396458.49,1029784704.05,117618256.41,821185.2,1104730.68,2022-06-01
1104,0.0,0.0,0.0,0.0,139698.24,715957211.38,0.0,0.0,104426.79,12951333.49,41254.17,178312.73,435007.05,1047709994.45,110755613.86,656715.08,801858.68,2022-04-01
1104,0.0,0.0,0.0,0.0,130399.92,716677743.97,0.0,12.28,60274.89,11531932.08,24914.01,553803.86,402844.15,1033898333.29,68851204.9,875293.47,577465.31,2022-01-01
1104,0.0,0.0,0.0,0.0,101246.0,709152788.47,0.0,0.0,56792.85,10899445.61,23298.17,622199.36,437889.79,1021384478.64,88105044.36,411992.19,1473655.23,2022-02-01
1104,0.0,0.0,827.86,0.0,184342.43,1403869591.98,1795.63,65.82,121098.34,12141646.6,47023.42,223177.91,119804546.44,2043340393.95,108214309.06,623875.06,2968454.67,2022-11-01
1104,0.0,0.0,718.72,0.0,167981.19,739113160.54,0.0,0.0,97023.82,11774637.81,41645.09,656551.0,1119100.07,1016202850.68,108723949.45,24803.43,4035070.01,2022-10-01
1104,0.0,0.0,0.0,0.0,168703.98,707840117.39,0.0,68.36,201289.61,11007740.86,80896.63,195413.43,404164.97,1015278335.52,109982696.06,1121225.78,1628340.71,2022-03-01
1104,0.0,0.0,585.44,0.0,340989.74,890904189.94,0.0,38203.22,194493.81,16142307.4,83859.48,317167.34,194104182.15,1084367276.51,216373887.77,1709429.18,4377695.79,2022-12-01
1104,0.0,0.0,864.85,0.0,132947.05,780106503.33,0.0,0.0,95427.09,12177250.53,31560.59,165245.76,595409.51,1057698875.5,134648468.58,665575.13,1895110.0,2022-08-01
1104,0.0,1536.71,0.0,0.0,156647.02,709069638.68,0.0,0.0,110203.77,11969568.9,44610.75,483095.94,462031.49,1030734905.28,131542248.06,615808.07,1547429.78,2022-05-01
1104,0.0,0.0,65.28,0.0,234624.94,787479603.69,0.0,199.01,98351.7,12052611.12,53757.55,514369.58,511552.89,1017498643.65,110057527.11,342654.23,902246.84,2022-07-01
1112,0.0,0.0,0.0,0.0,0.0,26564274.31,0.0,0.0,20517.15,75970748.34,8455.11,4740.12,1906229.62,0.0,625854.54,375496.39,91711.52,2022-02-01
1112,0.0,0.0,0.0,0.0,0.0,69247273.18,0.0,0.0,23051.48,104075087.68,9168.5,3899.37,1813568.18,0.0,670941.88,382370.18,11854.19,2022-01-01
1112,0.0,0.0,0.0,0.0,0.0,14434030.13,0.0,0.0,23590.47,81457291.19,9335.31,4139.08,1809000.55,0.0,690211.73,56761.27,289773.7,2022-05-01
1112,0.0,0.0,0.0,0.0,0.0,513566.15,0.0,13.34,42236.73,89998996.86,703269.27,0.0,459211162.78,0.0,731262.76,48100.68,981794.79,2022-12-01
1112,0.0,0.0,0.0,0.0,0.0,18193430.22,0.0,0.0,44628.14,78861060.12,16234.45,11463.66,1970223.17,0.0,712671.94,83662.68,30628.65,2022-08-01
1112,0.0,0.0,0.0,0.0,0.0,70495092.26,0.0,10.19,24916.92,78196128.95,10277.36,3602.02,4259824.08,0.0,621240.83,52038.97,1063520.7,2022-10-01
1112,2592.27,0.0,2227.33,0.0,0.0,581820.59,0.0,0.0,26084.78,77706665.74,8975.68,0.0,1961526.2,0.0,673039.93,74307.71,123425.93,2022-06-01
1112,0.0,0.0,0.0,0.0,0.0,16190534.49,0.0,0.0,47658.88,85173641.49,17513.66,4611.64,248585079.6,0.0,567934.58,47199.21,43768.54,2022-11-01
1112,0.0,0.0,0.0,0.0,2183.13,495113.39,0.0,0.0,29335.9,80438822.31,11236.32,0.0,1909171.51,0.0,692211.7,373142.0,73881.85,2022-03-01
1112,2992.18,0.0,1471.15,0.0,0.0,64897579.47,0.0,0.0,34727.99,82170099.63,12504.9,3512.82,1891337.34,0.0,645304.69,365707.36,77487.49,2022-04-01
1112,0.0,0.0,0.0,0.0,0.0,1246208.91,0.0,200.8,35347.56,79689859.37,13994.52,0.0,2023155.78,0.0,659229.54,83875.8,28320.76,2022-09-01
1112,0.0,0.0,0.0,0.0,0.0,72458232.25,0.0,0.0,26108.11,76156696.03,10179.72,3319.2,1977892.22,0.0,699704.96,68876.0,35216.27,2022-07-01
1120,0.0,0.0,0.0,0.0,2787.18,97555.68,0.0,0.0,395903.73,37486855.45,16658.13,0.0,70400666.63,0.0,932715.02,122799.72,145574.86,2022-11-01
1120,0.0,0.0,0.0,0.0,1538.2,204341.51,0.0,0.0,451538.56,51083903.05,16413.55,0.0,1493704.57,0.0,771776.44,140038.12,180171.46,2022-01-01
1120,0.0,0.0,0.0,0.0,1502.27,380996.66,0.0,0.0,367147.1,35492041.73,14931.2,0.0,145893529.54,0.0,1389155.39,188089.8,172614.54,2022-12-01
1120,0.0,0.0,0.0,0.0,1560.04,338014.93,0.0,0.0,575929.24,34922894.47,20009.5,0.0,1609194.26,0.0,1630762.18,134384.43,180098.96,2022-03-01
1120,0.0,0.0,2281.44,0.0,1600.95,243639.42,0.0,0.0,294163.02,38792588.42,15689.43,0.0,1837656.03,0.0,1376183.21,134006.05,360935.83,2022-06-01
1120,0.0,0.0,0.0,0.0,1615.92,221224.75,0.0,0.0,333539.72,32016166.98,29377.87,0.0,1400990.77,0.0,911285.52,138239.77,128054.62,2022-07-01
1120,0.0,0.0,0.0,0.0,2736.04,231569.16,0.0,423.28,347535.31,40576998.2,16377.45,8.16,1449744.43,0.0,878497.28,140700.76,356619.63,2022-09-01
1120,0.0,0.0,0.0,0.0,1548.89,168675.2,0.0,0.0,627805.75,27591277.22,13319.83,0.0,1638280.08,0.0,1533907.48,122681.08,179504.54,2022-02-01
1120,0.0,0.0,0.0,0.0,1585.85,447607.41,0.0,0.0,455318.49,28459370.75,137397.35,0.0,5109453.15,0.0,1551746.36,140897.83,538528.39,2022-05-01
1120,0.0,0.0,0.0,0.0,1573.7,347189.88,0.0,0.0,573752.16,36908148.57,16822.46,0.0,1515547.66,0.0,1050718.76,155499.34,204251.49,2022-04-01
1120,0.0,0.0,10.31,0.0,2762.24,216974.37,0.0,0.0,352287.25,35110932.37,16521.51,0.0,1661277.39,0.0,941233.83,225566.82,158210.16,2022-10-01
1120,0.0,0.0,0.0,0.0,2707.4,359126.58,0.0,0.0,263749.6,37193742.41,16220.32,0.0,1632704.07,0.0,891164.2,493678.83,150645.33,2022-08-01
1139,0.0,0.0,0.0,0.0,14671.77,163770165.56,0.0,0.0,26630.46,10125388.4,12084.07,0.0,57651.79,250850728.34,34346963.3,459142.16,63447.27,2022-05-01
1139,0.0,0.0,0.0,0.0,10354.76,166042556.43,0.0,0.0,24933.26,7683337.29,16251.99,505014.11,58221.4,250308963.55,30978423.14,638508.68,16169.05,2022-06-01
1139,0.0,0.0,0.0,0.0,8278.26,164396381.05,0.0,0.0,21153.65,6845798.4,12196.39,0.0,56678.49,251939855.77,27364444.9,25352.74,11335.68,2022-03-01
1139,0.0,0.0,0.0,0.0,2181.8,164461642.55,0.0,0.0,19990.71,9386186.36,7770.31,0.0,57192.79,252359629.33,31496945.7,14592.59,28572.84,2022-04-01
1139,0.0,0.0,0.0,0.0,7796.37,186733589.44,0.0,0.0,162395.27,17463590.03,55595.42,0.0,107227650.48,270151535.41,49668895.34,160370.71,9394.82,2022-12-01
1139,0.0,0.0,0.0,0.0,9770.35,170708869.45,0.0,0.0,28897.02,7742670.0,17756.16,3862091.72,58807.71,249636206.84,31223550.95,270529.85,11757.08,2022-07-01
1139,0.0,0.0,0.0,0.0,2740.43,174397843.1,0.0,0.0,31777.0,8817951.43,10646.47,0.0,0.0,255699087.18,32280414.88,151301.48,0.0,2022-10-01
1139,0.0,0.0,0.0,0.0,15399.89,172552078.84,0.0,0.0,34291.51,7517887.35,23422.67,0.0,60002.1,262536562.92,28949313.82,16988.66,12000.41,2022-09-01
1139,0.0,0.0,0.0,0.0,10079.99,164092814.7,0.0,10.0,30125.15,7654778.38,17177.38,0.0,59355.08,249342688.23,28890495.84,278067.31,47537.74,2022-08-01
1139,0.0,0.0,0.0,0.0,2021.16,162616335.68,0.0,0.0,19808.42,5112260.54,7570.43,0.0,0.0,244892162.82,23129951.2,438551.15,0.0,2022-01-01
1139,0.0,0.0,0.0,0.0,13134.91,162027175.77,0.0,12.35,29860.07,7743173.98,18506.99,0.0,112516.38,251401295.94,26553356.84,515611.56,22503.26,2022-02-01
1139,0.0,0.0,0.0,0.0,3230.81,353720210.09,0.0,0.0,25290.18,11428913.97,9480.75,5963817.9,74207206.41,523259565.28,32486090.27,15514.43,1656.01,2022-11-01
1155,0.0,0.0,0.0,0.0,0.0,272842.28,0.0,0.0,12354.17,2982922.56,1475.05,0.0,578693.76,0.0,101945.09,17892.61,140773.22,2022-08-01
1155,0.0,0.0,0.0,0.0,0.0,255361.77,0.0,0.0,6966.12,2438215.43,14.14,0.0,329848.68,0.0,105819.53,17447.51,43558.04,2022-05-01
1155,0.0,0.0,0.0,0.0,0.0,244577.58,0.0,0.0,9974.26,2836488.51,1459.74,0.0,419747.33,0.0,93331.94,23856.43,54000.38,2022-07-01
1155,0.0,0.0,0.0,0.0,0.0,171892.44,0.0,0.0,10045.28,2853347.92,1502.23,0.0,25717558.63,0.0,98575.36,25613.03,112911.54,2022-11-01
1155,0.0,0.0,0.0,0.0,0.0,226845.58,0.0,0.0,7657.3,2407355.57,13.91,0.0,299356.74,0.0,91171.46,14815.34,45633.68,2022-02-01
1155,0.0,0.0,0.0,0.0,0.0,227985.57,0.0,0.0,10868.75,2880133.48,1518.86,0.0,314067.61,0.0,102736.63,18515.42,66199.16,2022-06-01
1155,0.0,0.0,0.0,0.0,0.0,148881.37,0.0,0.0,11875.51,3010650.56,1468.69,0.0,358534.62,0.0,34919.44,9122.79,43418.36,2022-01-01
1155,0.0,0.0,0.0,0.0,0.0,240322.83,0.0,0.0,10586.86,2436983.1,1515.33,0.0,1348476.61,0.0,105713.94,10924.91,83941.17,2022-04-01
1155,0.0,0.0,0.0,0.0,0.0,271745.22,0.0,0.0,15860.92,3377706.72,1515.62,0.0,62100533.6,0.0,97558.29,13722.29,90929.9,2022-12-01
1155,0.0,0.0,0.0,0.0,0.0,233195.23,0.0,0.0,16370.63,2343366.25,2844.23,0.0,278241.03,0.0,104362.67,31428.48,39452.79,2022-03-01
1155,0.0,0.0,0.0,0.0,0.0,229930.27,0.0,0.0,16602.94,3015548.72,1488.63,0.0,680385.62,0.0,105363.62,17228.72,264900.2,2022-09-01
1155,0.0,0.0,0.0,0.0,79.83,177817.72,0.0,0.0,10919.61,2621075.52,1488.82,0.0,708273.61,0.0,110787.2,12277.79,99907.64,2022-10-01
1163,0.0,0.0,0.0,0.0,59231.07,76239402.59,0.0,0.0,46809.67,10216.3,17026.44,0.0,1098.92,100291805.87,5277168.41,0.0,209251.08,2022-08-01
1163,0.0,0.0,0.0,0.0,7693.24,69008929.18,0.0,0.0,16248.96,3520.53,5440.91,0.0,0.0,95049953.91,1023145.78,0.0,5712491.46,2022-01-01
1163,0.0,0.0,0.0,0.0,9553.0,71864551.22,0.0,0.0,18264.65,3957.24,6827.94,0.0,401.51,94898809.48,5432508.21,0.0,125673.54,2022-07-01
1163,0.0,0.0,0.0,0.0,9249.41,72005697.96,0.0,0.0,20513.12,4455.09,7134.43,0.0,523.99,95184460.02,5834221.3,0.0,2722.13,2022-05-01
1163,0.0,0.0,0.0,0.0,20248.27,157006947.93,0.0,0.0,28647.77,5929.1,10822.76,0.0,14516246.82,182457426.05,13265784.91,0.0,3260724.02,2022-12-01
1163,0.0,0.0,0.0,0.0,15096.9,82228723.18,0.0,0.0,25273.64,5164.76,8553.63,0.0,4993786.05,105090175.91,6556809.33,0.0,73084.77,2022-11-01
1163,0.0,0.0,0.0,0.0,11155.0,72811997.22,0.0,0.0,21432.38,4643.54,7584.32,0.0,829.85,95259779.46,5187618.53,500000.0,668909.8,2022-06-01
1163,0.0,0.0,0.0,0.0,10934.93,76794232.71,0.0,0.0,13644.02,2645.36,4636.01,0.0,362331.06,99678043.77,5022324.19,308.46,58881.38,2022-10-01
1163,0.0,0.0,0.0,0.0,16943.45,71204522.17,0.0,0.0,32956.62,7140.44,11377.26,0.0,524.55,95148417.67,4242087.67,0.0,78319.6,2022-04-01
1163,0.0,0.0,0.0,0.0,11090.14,71347525.84,0.0,0.0,19807.88,4321.8,6896.26,0.0,678.4,95382618.62,2820209.16,0.0,244029.19,2022-02-01
1163,0.0,0.0,0.0,0.0,64578.77,76197103.32,0.0,0.0,53113.4,11197.39,18565.72,0.0,938.04,98689026.28,5901051.14,0.0,794.46,2022-09-01
1163,0.0,0.0,0.0,0.0,10877.42,70899296.02,0.0,0.0,18730.95,4058.22,6685.83,0.0,507.5,95242733.54,4316272.83,0.0,16690.4,2022-03-01
1210,0.0,0.0,0.0,0.0,847.5,848785.79,0.0,0.0,33393.69,1042121.75,6444.84,0.0,584419.59,0.0,356271.26,87109.92,56838.71,2022-01-01
1210,0.0,0.0,0.0,0.0,0.0,1036801.6,0.0,0.0,48242.22,886972.56,10740.96,0.0,579056.76,0.0,389794.08,34221.46,65919.06,2022-06-01
1210,0.0,0.0,0.0,0.0,2008.07,1700808.44,0.0,0.0,71032.08,1019864.39,18201.72,0.0,34087874.32,0.0,425601.57,41589.42,71715.63,2022-12-01
1210,0.0,0.0,0.0,0.0,0.0,904853.8,0.0,207.56,44380.51,883848.65,9293.75,0.0,616073.93,0.0,401907.33,70121.8,52282.75,2022-04-01
1210,0.0,0.0,0.0,0.0,0.0,1120643.99,0.0,0.0,65208.71,962918.97,10714.9,0.0,917374.71,0.0,383691.86,56710.61,61494.55,2022-10-01
1210,0.0,0.0,0.0,0.0,7693.64,1077585.64,0.0,0.0,48034.35,942549.53,15096.0,0.0,686337.19,0.0,408139.71,42286.64,88750.91,2022-08-01
1210,0.0,0.0,0.0,0.0,0.0,848383.6,0.0,0.0,31642.68,543154.65,4741.73,0.0,616052.29,0.0,321452.3,42896.59,66695.94,2022-02-01
