secao_sigla,imposto_importacao,imposto_exportacao,ipi,irpf,irpj,irrf,iof,itr,cofins,pis_pasep,csll,cide_combustiveis,contribuicao_previdenciaria,cpsss,pagamento_unificado,outras_receitas_rfb,demais_receitas,data
E,520684.99,0.0,2030139.12,0.0,148709325.75,84577407.9,309826.14,82999.63,258677875.14,60879834.18,63218236.19,138900.43,6525018.32,0.0,55323457.92,337738.53,770520.91,2016-10-01
E,858423.38,0.0,2460089.21,0.0,104561451.21,69242682.85,186419.77,5470.36,214556044.36,54365247.86,54167169.37,44858.88,5776970.22,0.0,47450496.97,257980.64,1677863.85,2016-02-01
E,1239233.56,0.0,2348079.53,0.0,215924882.49,84260108.95,144967.66,68992.84,259945122.97,62316662.18,91061661.52,129717.47,6520735.77,0.0,54532362.88,2641246.61,1299463.86,2016-11-01
E,394638.5,0.0,2433866.08,0.0,120307932.02,101448855.81,656532.27,69042.26,246837300.41,59300216.94,50551010.41,89633.96,6008114.83,0.0,53347002.54,509858.4,1263916.87,2016-12-01
F,4788088.01,0.0,2997743.51,393.75,167348151.5,197463424.4,3208878.84,7367884.49,440715881.64,97195898.65,82105283.04,1316896.74,213090106.63,7356.49,475452834.39,5460186.39,29118335.17,2016-09-01
F,5490111.59,0.0,3534114.33,0.0,639012042.98,199444848.86,6015301.01,1034371.25,415887637.18,92466092.65,350603599.68,1039123.42,223338218.67,7492.27,463860785.99,11591506.33,16644417.5,2016-10-01
F,6708438.26,1800.34,8721875.3,1331.86,767155734.03,359799021.77,10881135.84,458637.75,551881194.69,120983522.54,426225027.19,3033644.07,299824019.64,12076.64,572113499.68,12357325.92,16864795.15,2016-01-01
F,6448148.03,0.0,3271868.96,154.96,159705249.47,220066517.5,4165048.83,338102.26,455732526.21,99860500.48,78559892.59,2917332.68,221939544.06,7377.42,489618675.65,8130643.76,36231298.58,2016-06-01
F,7113279.26,0.0,4338565.2,594.89,187470017.3,229017822.72,3299152.78,337949.88,380689351.58,84436370.73,93761619.46,2816974.59,215084585.56,12014.08,448614377.69,8012551.64,18800519.73,2016-02-01
F,8053984.31,2004.46,4128290.11,0.0,173087034.7,390631130.0,5067455.57,696830.81,434123478.95,94682079.03,84423765.63,1381012.11,215527482.47,14969.91,480311290.89,7562176.27,15051433.67,2016-12-01
F,6080676.69,3809.06,4117149.58,0.0,166979455.05,238177828.18,3873037.03,232462.8,418332471.54,92120267.2,83135618.3,885543.26,216238359.61,8309.1,479238233.86,5839394.11,16529557.96,2016-05-01
F,6031047.66,3538.47,3532561.65,2088.89,168906287.16,202934494.78,3905929.19,266633.16,421625124.06,94189314.39,87014542.27,692746.56,224487731.63,7327.63,481333733.56,10184746.56,19702353.83,2016-08-01
F,7093236.81,487.07,4209804.66,101.39,591740531.18,219088697.26,5229169.31,275830.41,416105827.8,93036908.64,324353763.31,1742065.32,217098688.02,8309.1,487882970.39,7542171.93,16666931.16,2016-04-01
F,5408163.3,0.0,2863159.23,3018.21,207788123.31,208948520.9,3968261.29,982810.16,394033472.63,86704040.6,100896069.31,666268.5,205878768.86,8103.56,459572232.59,5746750.38,17623123.82,2016-11-01
F,4177330.74,25.0,2921265.73,1112.56,617463444.9,230158978.15,3574857.09,233811.9,420561306.42,94807227.31,358346576.2,4193838.02,255947984.83,7327.63,500534417.64,8978355.14,16837479.01,2016-07-01
F,5616519.83,17132.76,3655197.96,0.0,250363941.13,217823571.76,7602580.81,218512.24,406047100.26,89359914.71,102669440.1,2872174.66,213426596.99,12014.06,461036517.96,8303278.06,17301973.72,2016-03-01
G,863869989.71,310658.67,764742741.3,6981.76,934215352.97,824336727.84,13592135.37,211351.98,2456183555.78,526271525.95,475829688.17,65018195.26,148729997.22,123.36,2910378010.93,162635048.17,44889130.49,2016-06-01
G,837465223.63,57994.37,710108356.86,2469.56,2116651660.35,903245116.6,7415991.58,134639.92,2422469969.74,520159979.6,1186709405.61,63311214.78,166556373.72,0.0,2928619773.06,135409154.03,31243913.45,2016-07-01
G,1056400228.7,491131.59,869702765.09,15712.59,2321721498.15,1367816397.23,7167852.68,89055.07,2917756227.98,642785164.81,1284275802.11,30306492.89,132274498.07,0.0,3516641601.74,94276861.01,34201895.66,2016-01-01
G,761537295.68,182166.84,795991826.75,5094.73,1960593078.62,984618617.12,11254057.46,110982.78,2371269307.7,506836689.23,1113561523.06,44253202.33,90177172.38,1154.11,2854726966.76,108193292.93,33245527.33,2016-04-01
G,972269875.45,247266.94,811251496.55,5099.39,942198086.14,856519285.43,8654626.28,149487.59,2602451505.92,560869490.45,476492347.21,68825965.74,98718867.71,62.73,2920254130.14,134427957.28,37774297.49,2016-08-01
G,986344076.97,49854.49,848128357.33,3255.76,1146760146.45,942590614.46,7427972.55,654902.65,2675065751.35,574551369.04,568937119.33,100054337.85,96078000.13,11.99,2922495672.51,138455071.11,34410853.11,2016-11-01
